filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album
/Users/dirk/github/dirkroorda/historisch-eefde/_temp/temp/E-000-212.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,
/Users/dirk/github/dirkroorda/historisch-eefde/_temp/temp/.DS_Store,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1,0,
